model,seed,params,acc,epoch_best,temperature,grid,nll_uncalibrated,nll_calibrated,brier_uncalibrated,brier_calibrated,ece_uncalibrated,ece_calibrated,label_fraction
mlp,42,267786,0.708899974822998,4,1.0270024538040161,,0.83349609375,0.83203125,0.40233710408210754,0.4017263650894165,0.0302845761179924,0.023632707074284554,0.005
pykan,42,269352,0.7106999754905701,9,1.0829628705978394,3.0,0.8465574383735657,0.8579546809196472,0.40218043327331543,0.40519464015960693,0.028015900403261185,0.05337247624993324,0.005
fastkan,42,267509,0.7095000147819519,14,0.9482566118240356,5.0,0.88720703125,0.876953125,0.4100625514984131,0.40707188844680786,0.07116992026567459,0.053202174603939056,0.005
mlp,43,267786,0.734499990940094,2,1.1855766773223877,,0.82568359375,0.88818359375,0.38854801654815674,0.41126030683517456,0.11308886855840683,0.17133495211601257,0.005
pykan,43,269352,0.7279999852180481,6,1.083737850189209,3.0,0.901829183101654,0.9359548091888428,0.41476738452911377,0.427905410528183,0.15840332210063934,0.1864650845527649,0.005
fastkan,43,267509,0.7110000252723694,11,1.2284563779830933,5.0,0.87353515625,0.93017578125,0.4051589369773865,0.4252881407737732,0.0663466826081276,0.13764184713363647,0.005
mlp,44,267786,0.7242000102996826,3,1.3134026527404785,,0.806640625,0.85107421875,0.38353052735328674,0.3986240327358246,0.019580664113163948,0.10353032499551773,0.005
pykan,44,269352,0.7182000279426575,8,1.0594578981399536,3.0,0.8714163303375244,0.8827895522117615,0.4031205177307129,0.40743404626846313,0.07161571085453033,0.09028420597314835,0.005
fastkan,44,267509,0.6962000131607056,13,1.0754199028015137,5.0,0.9296875,0.947265625,0.42098087072372437,0.42732715606689453,0.07420293241739273,0.09981955587863922,0.005
mlp,45,267786,0.70169997215271,5,1.0413240194320679,,0.88232421875,0.8818359375,0.41646328568458557,0.4159594178199768,0.02270800806581974,0.020103031769394875,0.005
pykan,45,269352,0.6832000017166138,12,0.9219003915786743,3.0,0.9195889830589294,0.9186735153198242,0.4331810176372528,0.4331859350204468,0.015969187021255493,0.020119858905673027,0.005
fastkan,45,267509,0.6553000211715698,10,-16.740482330322266,5.0,0.9599609375,2.50390625,0.4605354368686676,0.9374363422393799,0.022091206163167953,0.11602649837732315,0.005
mlp,46,267786,0.7139999866485596,3,1.1512633562088013,,0.81005859375,0.83056640625,0.3907546103000641,0.39591899514198303,0.018541015684604645,0.061885058879852295,0.005
pykan,46,269352,0.6953999996185303,12,1.0073659420013428,3.0,0.9004504680633545,0.901104211807251,0.4214555323123932,0.4216490089893341,0.029391683638095856,0.03194951266050339,0.005
fastkan,46,267509,0.6862999796867371,11,-12.333399772644043,5.0,0.916015625,2.56640625,0.43165162205696106,0.9471052885055542,0.06286250054836273,0.1218080222606659,0.005
mlp,42,267786,0.7508999705314636,2,1.1554538011550903,,0.70166015625,0.71630859375,0.34439322352409363,0.3475945293903351,0.010422266088426113,0.04522104188799858,0.01
pykan,42,269352,0.7491000294685364,7,-181.7744140625,3.0,0.7464314103126526,2.323101282119751,0.35411620140075684,0.9040625691413879,0.05347547307610512,0.10095765441656113,0.01
fastkan,42,267509,0.734499990940094,9,-585.8766479492188,5.0,0.82080078125,2.310546875,0.38124972581863403,0.9010565280914307,0.08918749541044235,0.09947841614484787,0.01
mlp,43,267786,0.7603999972343445,3,1.2991560697555542,,0.7138671875,0.7470703125,0.33890002965927124,0.3479473292827606,0.012299609370529652,0.0770004615187645,0.01
pykan,43,269352,0.7577999830245972,5,1.1261767148971558,3.0,0.7278017401695251,0.7560436725616455,0.3449767231941223,0.35416191816329956,0.061619214713573456,0.09946271777153015,0.01
fastkan,43,267509,0.7336000204086304,7,1.106481671333313,5.0,0.80810546875,0.8310546875,0.3761623799800873,0.3836924135684967,0.059845101088285446,0.09432443976402283,0.01
mlp,44,267786,0.7610999941825867,2,1.16041898727417,,0.69140625,0.70556640625,0.33328089118003845,0.33739444613456726,0.011100981384515762,0.05107524245977402,0.01
pykan,44,269352,0.7559000253677368,5,1.0575233697891235,3.0,0.7486932873725891,0.7608342170715332,0.3521220088005066,0.35646307468414307,0.07366243004798889,0.0908755287528038,0.01
fastkan,44,267509,0.7476999759674072,9,1.0571651458740234,5.0,0.80419921875,0.82080078125,0.36941292881965637,0.3753196895122528,0.10097382217645645,0.12081259489059448,0.01
mlp,45,267786,0.7563999891281128,2,0.8921178579330444,,0.69921875,0.70068359375,0.34026074409484863,0.3406528830528259,0.008783397264778614,0.021169383078813553,0.01
pykan,45,269352,0.7554000020027161,6,-10.068838119506836,3.0,0.738783597946167,2.7301442623138428,0.35068193078041077,0.9707636833190918,0.043791964650154114,0.13117672502994537,0.01
fastkan,45,267509,0.7466999888420105,10,-10.756580352783203,5.0,0.796875,2.60546875,0.3661869764328003,0.952812910079956,0.09958086162805557,0.12002217024564743,0.01
mlp,46,267786,0.7710999846458435,3,1.2003979682922363,,0.68603515625,0.71875,0.32529139518737793,0.3353704512119293,0.032807428389787674,0.08736315369606018,0.01
pykan,46,269352,0.7634999752044678,6,1.0845844745635986,3.0,0.7257426977157593,0.7414813041687012,0.34167566895484924,0.34713980555534363,0.05985075607895851,0.0840069055557251,0.01
fastkan,46,267509,0.7161999940872192,6,1.0635769367218018,5.0,0.8408203125,0.85302734375,0.3970799446105957,0.4013277292251587,0.06322147697210312,0.08327455818653107,0.01
mlp,42,267786,0.777400016784668,1,1.1794663667678833,,0.642578125,0.662109375,0.3115893006324768,0.31728503108024597,0.016055865213274956,0.060441795736551285,0.02
pykan,42,269352,0.7731999754905701,14,0.6760038733482361,3.0,0.7454480528831482,0.7151345014572144,0.33475738763809204,0.32743388414382935,0.08259760588407516,0.03655553236603737,0.02
fastkan,42,267509,0.7494000196456909,9,0.9755266308784485,5.0,0.77197265625,0.7666015625,0.3537014126777649,0.3520857095718384,0.06817442178726196,0.059801436960697174,0.02
mlp,43,267786,0.7651000022888184,1,1.205902338027954,,0.6904296875,0.70947265625,0.3354548215866089,0.3415369689464569,0.01467305701225996,0.06335949897766113,0.02
pykan,43,269352,0.7710999846458435,4,1.0289807319641113,3.0,0.7126357555389404,0.7187920212745667,0.33280399441719055,0.33475562930107117,0.06604860723018646,0.07509759068489075,0.02
fastkan,43,267509,0.7638999819755554,14,-44.12251281738281,5.0,0.76318359375,2.375,0.3470841944217682,0.9138224720954895,0.09187851846218109,0.10343288630247116,0.02
mlp,44,267786,0.7628999948501587,1,1.2246943712234497,,0.67919921875,0.70849609375,0.3326560854911804,0.3421165943145752,0.02240019291639328,0.07625004649162292,0.02
pykan,44,269352,0.77920001745224,3,1.0714194774627686,3.0,0.6970715522766113,0.7161915302276611,0.3280797004699707,0.3349684178829193,0.09639377146959305,0.11801310628652573,0.02
fastkan,44,267509,0.7615000009536743,15,0.9818793535232544,5.0,0.78466796875,0.77978515625,0.35037198662757874,0.3487391471862793,0.0928964838385582,0.08640316873788834,0.02
mlp,45,267786,0.7746999859809875,1,1.0754374265670776,,0.642578125,0.64892578125,0.31533801555633545,0.3171676695346832,0.018678130581974983,0.03678988665342331,0.02
pykan,45,269352,0.7684000134468079,4,0.8952083587646484,3.0,0.7084501385688782,0.6890227198600769,0.3377358317375183,0.33158183097839355,0.0754428580403328,0.04260217025876045,0.02
fastkan,45,267509,0.7529000043869019,9,-45.71540069580078,5.0,0.77001953125,2.376953125,0.35225382447242737,0.914620578289032,0.06225059553980827,0.1039089635014534,0.02
mlp,46,267786,0.7732999920845032,1,1.0377448797225952,,0.64404296875,0.6474609375,0.31391575932502747,0.3148650527000427,0.02268964797258377,0.03249762952327728,0.02
pykan,46,269352,0.7677000164985657,4,-92.38533020019531,3.0,0.7274275422096252,2.342376708984375,0.3410359025001526,0.9078078269958496,0.080157071352005,0.1027199923992157,0.02
fastkan,46,267509,0.7458000183105469,6,-71.66615295410156,5.0,0.78466796875,2.349609375,0.36747100949287415,0.9091678857803345,0.07250899821519852,0.1028778925538063,0.02
mlp,42,267786,0.8172000050544739,2,0.9191191792488098,,0.60009765625,0.580078125,0.27486738562583923,0.2688720226287842,0.0883425697684288,0.06272805482149124,0.05
pykan,42,269352,0.8119999766349792,4,-9.72414493560791,3.0,0.6207711696624756,2.6760237216949463,0.28294283151626587,0.9627200365066528,0.10035810619592667,0.11979293078184128,0.05
fastkan,42,267509,0.8032000064849854,8,-75.07356262207031,5.0,0.6494140625,2.345703125,0.290856271982193,0.9089098572731018,0.094508595764637,0.10129369795322418,0.05
mlp,43,267786,0.8048999905586243,2,0.9677733778953552,,0.62451171875,0.61767578125,0.2877904176712036,0.2855769991874695,0.07494395226240158,0.06461872160434723,0.05
pykan,43,269352,0.8026999831199646,4,-62.28754425048828,3.0,0.6520568132400513,2.357686996459961,0.296674519777298,0.9107276201248169,0.09809958934783936,0.10247274488210678,0.05
fastkan,43,267509,0.7989000082015991,6,-323.35498046875,5.0,0.658203125,2.3125,0.2985445559024811,0.9021098613739014,0.09494493156671524,0.09954290837049484,0.05
mlp,44,267786,0.8206999897956848,3,0.98392254114151,,0.60546875,0.6015625,0.27029556035995483,0.26906460523605347,0.07968436926603317,0.07447774708271027,0.05
pykan,44,269352,0.8101999759674072,7,0.9266811013221741,3.0,0.633743166923523,0.6157612800598145,0.2827225923538208,0.27753669023513794,0.08179665356874466,0.056185282766819,0.05
fastkan,44,267509,0.8068000078201294,7,-5.448059558868408,5.0,0.642578125,2.978515625,0.29018616676330566,1.0008898973464966,0.09029608219861984,0.13921253383159637,0.05
mlp,45,267786,0.8037999868392944,2,1.0995328426361084,,0.61767578125,0.64404296875,0.28853246569633484,0.29681605100631714,0.07103632390499115,0.10284089297056198,0.05
pykan,45,269352,0.8115000128746033,4,0.9921445846557617,3.0,0.6268545389175415,0.624408483505249,0.2863312363624573,0.28555962443351746,0.10077964514493942,0.09807571768760681,0.05
fastkan,45,267509,0.79339998960495,4,0.9840880632400513,5.0,0.65380859375,0.6494140625,0.3021255135536194,0.3006991446018219,0.09305819123983383,0.0876232162117958,0.05
mlp,46,267786,0.8037999868392944,3,-18.5885009765625,,0.63525390625,2.5,0.29120972752571106,0.9359186291694641,0.08043809235095978,0.11075666546821594,0.05
pykan,46,269352,0.8026999831199646,3,-21.928117752075195,3.0,0.6541163325309753,2.4591314792633057,0.29821351170539856,0.9290396571159363,0.10820021480321884,0.10848026722669601,0.05
fastkan,46,267509,0.7953000068664551,7,-4.290032863616943,5.0,0.6611328125,3.16015625,0.302605539560318,1.0194222927093506,0.08619356155395508,0.150124654173851,0.05
