model,seed,params,acc,epoch_best,temperature,grid,nll_uncalibrated,nll_calibrated,brier_uncalibrated,brier_calibrated,ece_uncalibrated,ece_calibrated,label_fraction
mlp,42,267786,0.7508999705314636,2,1.1554538011550903,,0.70166015625,0.71630859375,0.34439322352409363,0.3475945293903351,0.010422266088426113,0.04516270011663437,0.01
pykan,42,269352,0.7491000294685364,7,-181.7744140625,3.0,0.7464314103126526,2.323101282119751,0.35411620140075684,0.9040625691413879,0.05347547307610512,0.10095766931772232,0.01
fastkan,42,267509,0.734499990940094,9,-585.8766479492188,5.0,0.82080078125,2.310546875,0.38124972581863403,0.9010565280914307,0.08918749541044235,0.09947232156991959,0.01
mlp,43,267786,0.7603999972343445,3,1.2991560697555542,,0.7138671875,0.7470703125,0.33890002965927124,0.3479473292827606,0.012299609370529652,0.07702364027500153,0.01
pykan,43,269352,0.7577999830245972,5,1.1261767148971558,3.0,0.7278017401695251,0.7560436725616455,0.3449767231941223,0.35416191816329956,0.061619214713573456,0.09946273267269135,0.01
fastkan,43,267509,0.7336000204086304,7,1.106481671333313,5.0,0.80810546875,0.8310546875,0.3761623799800873,0.3836924135684967,0.059845101088285446,0.09438867121934891,0.01
mlp,44,267786,0.7610999941825867,2,1.16041898727417,,0.69140625,0.70556640625,0.33328089118003845,0.33739444613456726,0.011100981384515762,0.05104139447212219,0.01
pykan,44,269352,0.7559000253677368,5,1.0575233697891235,3.0,0.7486932873725891,0.7608342170715332,0.3521220088005066,0.35646307468414307,0.07366243004798889,0.09087549149990082,0.01
fastkan,44,267509,0.7476999759674072,9,1.0571651458740234,5.0,0.80419921875,0.82080078125,0.36941292881965637,0.3753196895122528,0.10097382217645645,0.1208445280790329,0.01
mlp,45,267786,0.7563999891281128,2,0.8921178579330444,,0.69921875,0.70068359375,0.34026074409484863,0.3406528830528259,0.008783397264778614,0.021114639937877655,0.01
pykan,45,269352,0.7554000020027161,6,-10.068838119506836,3.0,0.738783597946167,2.7301442623138428,0.35068193078041077,0.9707636833190918,0.043791964650154114,0.13117673993110657,0.01
fastkan,45,267509,0.7466999888420105,10,-10.756580352783203,5.0,0.796875,2.60546875,0.3661869764328003,0.952812910079956,0.09958086162805557,0.12000785768032074,0.01
mlp,46,267786,0.7710999846458435,3,1.2003979682922363,,0.68603515625,0.71875,0.32529139518737793,0.3353704512119293,0.032807428389787674,0.08731327205896378,0.01
pykan,46,269352,0.7634999752044678,6,1.0845844745635986,3.0,0.7257426977157593,0.7414813041687012,0.34167566895484924,0.34713980555534363,0.05985075607895851,0.08365948498249054,0.01
fastkan,46,267509,0.7161999940872192,6,1.0635769367218018,5.0,0.8408203125,0.85302734375,0.3970799446105957,0.4013277292251587,0.06322147697210312,0.08328985422849655,0.01
